20001,Новосибирская область,Пермь,RUSSIA,Чемпионат Урала,15-17 лет,ТРИО
20002,Свердловская область,Омск,RUSSIA,Московские огни,15-17 лет,ГРУППА
20003,Тюменская область,Новосибирск,RUSSIA,Чемпионат Урала,15-17 лет,ИЖ
20004,Омская область,Тюмень,RUSSIA,Чемпионат Урала,15-17 лет,СП
20005,Тюменская область,Тюмень,RUSSIA,Кубок Сибири,15-17 лет,СП
20006,Тюменская область,Тюмень,RUSSIA,Звезды Поволжья,15-17 лет,ИЖ
20007,Пермский край,Новосибирск,RUSSIA,Звезды Поволжья,15-17 лет,ГРУППА
20008,Новосибирская область,Пермь,RUSSIA,Чемпионат Урала,15-17 лет,ГРУППА
20009,Новосибирская область,Екатеринбург,RUSSIA,Московские огни,15-17 лет,СП
20010,Тюменская область,Тюмень,RUSSIA,Московские огни,15-17 лет,ТРИО
20011,Свердловская область,Екатеринбург,RUSSIA,Московские огни,15-17 лет,ИЖ
20012,Тюменская область,Тюмень,RUSSIA,Московские огни,15-17 лет,ТРИО
20013,Тюменская область,Новосибирск,RUSSIA,Чемпионат Урала,15-17 лет,СП
20014,Пермский край,Екатеринбург,RUSSIA,Чемпионат Урала,15-17 лет,ГРУППА
20015,Новосибирская область,Омск,RUSSIA,Московские огни,15-17 лет,СП
20016,Тюменская область,Екатеринбург,RUSSIA,Кубок Сибири,15-17 лет,ИЖ
20017,Пермский край,Тюмень,RUSSIA,Кубок Сибири,15-17 лет,СП
20018,Новосибирская область,Екатеринбург,RUSSIA,Московские огни,15-17 лет,ГРУППА
20019,Новосибирская область,Екатеринбург,RUSSIA,Кубок Сибири,15-17 лет,СП
20020,Свердловская область,Тюмень,RUSSIA,Московские огни,15-17 лет,ТРИО
20021,Свердловская область,Омск,RUSSIA,Московские огни,15-17 лет,ГРУППА
20022,Новосибирская область,Новосибирск,RUSSIA,Звезды Поволжья,15-17 лет,СП
20023,Тюменская область,Пермь,RUSSIA,Кубок Сибири,15-17 лет,ТРИО
20024,Тюменская область,Тюмень,RUSSIA,Московские огни,15-17 лет,СП
20025,Тюменская область,Пермь,RUSSIA,Кубок Сибири,15-17 лет,СП
20026,Тюменская область,Пермь,RUSSIA,Кубок Сибири,15-17 лет,СП
20027,Свердловская область,Тюмень,RUSSIA,Чемпионат Урала,15-17 лет,ИЖ
20028,Пермский край,Тюмень,RUSSIA,Московские огни,15-17 лет,ТРИО
20029,Омская область,Новосибирск,RUSSIA,Звезды Поволжья,15-17 лет,СП
20030,Омская область,Екатеринбург,RUSSIA,Чемпионат Урала,15-17 лет,ТРИО
20031,Свердловская область,Омск,RUSSIA,Кубок Сибири,15-17 лет,ИЖ
20032,Свердловская область,Пермь,RUSSIA,Кубок Сибири,15-17 лет,ИЖ
20033,Пермский край,Новосибирск,RUSSIA,Звезды Поволжья,15-17 лет,СП
20034,Омская область,Тюмень,RUSSIA,Чемпионат Урала,15-17 лет,ТРИО
20035,Омская область,Новосибирск,RUSSIA,Московские огни,15-17 лет,ТРИО
20036,Пермский край,Пермь,RUSSIA,Кубок Сибири,15-17 лет,ТРИО
20037,Тюменская область,Новосибирск,RUSSIA,Звезды Поволжья,15-17 лет,ИЖ
20038,Тюменская область,Пермь,RUSSIA,Чемпионат Урала,15-17 лет,ТРИО
20039,Омская область,Пермь,RUSSIA,Чемпионат Урала,15-17 лет,ТРИО
20040,Новосибирская область,Омск,RUSSIA,Московские огни,15-17 лет,ТРИО
20041,Тюменская область,Тюмень,RUSSIA,Московские огни,15-17 лет,ТРИО
20042,Тюменская область,Тюмень,RUSSIA,Звезды Поволжья,15-17 лет,СП
20043,Омская область,Новосибирск,RUSSIA,Московские огни,15-17 лет,ГРУППА
20044,Пермский край,Тюмень,RUSSIA,Кубок Сибири,15-17 лет,ИЖ
